评论ID,分词结果
169706462368,章鱼 哥
169595652640,我要 做 章鱼 哥 和 海绵 宝宝 的 合体
169291981360,有 23 年 的 人 吗
169163430928,我 就是 章鱼 哥
168153165264,不肯 脱 下 长衫
168131411712,音无结 弦 之 时悦动 天使 之心 立于 浮夸 之世 奏响 天籁 之音
168041167760,李易 老师 走 好
168003793568,人 总要 面对 生活 的 麻木不仁 的 去 活着
167999431616,希望 海绵 宝宝 能 看到 这个 视频
167777650864,长大 才 知道 章鱼 哥才 是 正常 的 那个 人
167326068880,音无结 弦 之 时悦动 天使 之心 立于 浮夸 之世 奏响 天籁 之音
166915225616,125 倍 好听
166856160256,我 以前 以为 我能 像 海绵 宝宝 一样 理想 后来 变成 了 章鱼 哥
166169493008,可是 他们 都 有 自己 的 家 都 有 自己 的 爱好 都 有 自己 珍惜 的 人 呀 我 连 歇息 一下 的 地方 都 找 不到 了
166140627568,啼哭 咧
166014132288,小时候 讨厌 章鱼 哥 长大 后 成为 章鱼 哥
166316217824,痛苦 小时候 不 懂 不 理解 章鱼 哥 现在
165986664560,世界 把 我 改变 我 笑 逝去 不见
165968314016,开场 有 什么 比 把 快乐 带给 别人 更 快乐 的 呢 去 死 或者 别的 什么 我 不 知道 你 对 这个 有 这么 强烈 的 感觉 你 要 干什么 我 想 我 无法 阻止 你 但是 章鱼 哥 外面 是 一个 冷酷 的 世界 没有 人用 银 托盘 把 欢乐 带给 你 我 自己 知道 我 非常 可笑 灰灰 丑丑 腿 有 四条 小蜗 有 爱 它 的 海绵 宝宝 派大星 傻 呆呆 的 吹泡泡 蟹 老板 高兴 的 吃 蟹黄 堡 章鱼 哥 在 独奏 E 小调 为什么 我 一 高兴 就 有 错 我 不 知道 你们 在 笑 什么 为什么 大家 都 爱 海绵 宝宝 为什么 章鱼 哥不爱 笑 为什么 我 今天 真糟糕 未来 我 还 没有 准备 好 海绵 宝宝 你 不 知道 你 有 多 幸运 你 有 小 蜗 和 爱 你 的 家人 我 也 想 做 我 爱 的 事 却 总是 这么 倒霉 除 我 以外 这 世界 上 还有 谁 大人 的 世界 比 我 想象 的 难 我 认为 我 是 主角 却 相反 我 的 工作 一 年复一年 一天 复 一天 再见 比基尼 海滩 海绵 宝宝 你 不 知道 你 有 多 幸运 你 有 小 蜗 和 爱 你 的 家人 我 也 想 做 我 爱 的 事 却 总是 这么 倒霉 除 我 以外 这 世界 上 还有 谁 我 想 回到 那个 时代 自己 傻傻 有些 呆 自己 傻傻 有些 呆 但 有家 人们 的 爱 但是 我 我 知道 我 的 笑脸 我 的 爱 我 的 一切 逝去 不再 来 世界 把 我 改变 我 笑 逝去 不见 我 想 逃离 却 逃 到 了 清洁 间 这样 的 日子 又 在 我 眼前 谁 能 知道 我该 怎么办 再见 海绵 宝宝 再见 派大星 我 也 想 做 我 自己 爱 做 的 事情 做 我 爱 的 工作 爱 我 爱 的 人 等一等 我 自己 的 灵魂 有 一句 话 从 今天 早上 我们 一 见面 我 就 一直 想 对 你 说 再见 再见 朋友 再见 比基尼 海滩 我 想 回到 那个 时代 自己 傻傻 有些 呆 自己 傻傻 有些 呆 但 有家 人们 的 爱 但是 我 我 知道 我 的 笑脸 我 的 爱 我 的 一切 逝去 不再 来 世界 把 我 改变 我 笑 逝去 不见 我 想 逃离 却 逃 到 了 清洁 间 这样 的 日子 又 在 我 眼前 谁 能 知道 我该 怎么办 竖笛 独奏 蓄力 中 蓄力 完成 但是 海绵 宝宝 但是 派大星 我 确实 没有 你们 幸运 的 人生 我 辛辛苦苦 工作 三年 但是 我 难得 休假 一天 我 希望 我 自己 傻 呆呆 不 把 世界 看 的 非常 明白 希望 有人 明白 我 的 爱 但是 谁 会 明白 我 的 爱 章鱼 哥 走 在 吹 竖笛 一天 一天 的 为 独奏 练习 明天 比基尼 海滩 都 会 崇拜 我 但是 比基尼 海滩 都 在 嘲笑 我 我 想要 好好 安静 一下 你 今天 累坏 了 小章鱼 明天 一定 会 更 美好 更 美丽 的 结尾 竖笛 独奏
165860690208,0.75 食用 更佳
165676917664,失败 反省 emo 的 小曲
165103918832,6667
165039105472,章鱼 哥 悲伤 忧郁 的 世界
164987010448,他 ... 他 只是 追求 他 的 理想 罢了
164920109152,音无结 弦 之 时悦动 天使 之心 立于 浮夸 之世 奏响 天籁 之音
164739723216,我 也 回来 了
164655198144,被 法老 写 进 歌词 了
164446105376,又 回来 了 我
164416664832,譜 tr
164142997680,小时候 就 一直 讨厌 章鱼 哥 长大 后 还是 讨厌 不去 笑 的 人 不配 得到 快乐 世界 是 残酷 的 却 不 去 蒙上 双眼 世界 无法 改变 却 不 改变 自己 理所当然 的 认为 世界 应该 为 你 带来 欢乐 却 不 去 自己 争取
164101497200,活在 当下 吧 走 好 你 自己 的 路
164079220544,开头 那个 去 死 是 哪集
165488149056,蟹 老板 的 那个 远古 一毛钱
164049681264,我 曾经 很 优秀 但 我 现在 很 麻木
163984708448,原曲 是 什麼
168041114608,flower dance
163933844368,小时候 看 海绵 宝宝 哈哈大笑 长大 了 看 海绵 宝宝 呜呜 大哭 太 真实 太 讽刺 了
163861153264,法老
163820134544,可惜 李易 老师 再也不会 翻唱 了 ....
163640544144,听歌 识曲
163631446064,艹 emo 神曲 三连 支持
163620618688,不过 只是 些许 风霜 罢了
163493127888,有 一首 法老 的 歌 也 是 模仿 的 这个
168589852096,那首 的 创意 来源 就是 这个 视频
163437137760,不 知道 几刷 了 章鱼 哥 好歹 还有 两个 邻居 真心实意 的 关心 他 虽然 总 把 他 生活 搞 得 一团糟 但是 有 麻烦 也 是 无条件 帮忙 生活 当中 能 有 几个 人 真心实意 的 无条件 帮助 你 除了 爸妈 之外 真的 是 算是 比较 幸运 了
163175664624,五月 一号 在 上班 听 着 章鱼 哥 的 独白 我 今年 到 今天 还 没有 拿到 一分钱 的 收入
163161862752,看 完 这个 视频 好想哭 章鱼 哥 表现 的 是 现在 人们 的 常态
163121895984,没有 人会用 银 托盘 把 欢乐 带给 你 可 如果 连 梦想 都 没有 那 还 谈何 快乐
163096528896,我 第一次 唱歌 视频 后 并 没有 什么 感觉 可是 在 我 伤心 的 时候 我 跟着 唱 了 这 首歌 然后 我 唱 完 我 就 哭 了
163083830112,小时候 我特 喜欢 海绵 宝宝 觉得 他 充满活力 积极向上 讨厌 章鱼 哥 认为 他 厌世 懦弱 悲观 现在 我 觉得 海绵 宝宝 真 奇怪 被 蟹 老板 压榨 还 乐颠颠 的 而 章鱼 哥 呢 你 今天 累坏 了 小章鱼 明天 一定 会 更 美好 更 美丽 的 为什么 会 有 这些 变化 呢
162980490320,明天 更 漫长
162765276544,倘若 我 无知 我可以 接受 自己 的 庸碌 与 无为 偏偏 我 知道
162634825600,法老 的 那首歌 是 借鉴 的 你 的 吗 还是 你 借鉴 的 法老 你 俩 谁 先 谁 后 我 忘 了
162805234496,应该 是 法老 借鉴 的 吧 毕竟 是 2021 最美 的 夜 bilibili
162439514960,以前 的 视频 真的 很 好 现在 的 视频 都 是 答辩 好 想念 以前 的 b 站
162138063456,初 听 还是 曲 外人 在 听 以 是 曲中人
174067959824,其实 我们 距离 章鱼 哥 还是 很 遥远 的 毕竟 章鱼 哥住 的 是 独栋 别墅 还有 音乐 美术 雕塑 园艺 等 爱好 冰箱 里 还有 进口 的 奶酪 不 清楚 价格 但 想必 不会 太 便宜 还会 购买 鲜花 来 提升 自己 的 生活品质 甚至 还有 钱买个 墓地 还 埋葬 梦想 还有 几个 友善 的 朋友 想想 我们 很多 人活 得 还 不如 章鱼 哥
161818564672,喜欢 纸片 人 的 大家 都 是 草履虫 痞 老板
161663165520,章鱼 哥站 起来 吧 你 是 个 伟大 的 艺术家 虽然 你 没有 快乐 但 我 觉得 明天 会 更好 我 也 看到 了 那个 墓碑 它 的 名字 是 章鱼 哥 的 梦想 ........
161161956624,最怕 的 就是 一个 人 小小 少年 的 时候 就 看 懂 了 章鱼 哥
161103849328,破 千万 播放 喽 当时 才 小 百万 ... 一年 年 过去 我 越来越 能 理解 这 首歌 越来越 能 理解 章鱼 哥 了 ...
161007734608,载营魄 抱 一能 无离乎 ?
161007494976,拉倒 吧 海绵 宝宝 是 人生 赢家 而 章鱼 哥 只有 自我
160899953088,小时候 唯独 不 喜欢 章鱼 哥 觉得 章鱼 哥 古板 还 总爱 板着脸 没有 活力 高中 了 再 看 只 觉得 章鱼 哥是 我 的 影子 在 社会 毒打 中 寻找 自己 的 容身 之 所 努力 用 最 消极 的 态度 与 生活 和解 至少 还 能 吹 笛子 至少 还有 热水澡 可以 泡 该 评论 来自 捡 来 的 XTC _ Z3 端 十分 耗电 的 Van 上 哔哩
160841005792,音乐 名字 叫 什么
160306359440,等等 我 我 的 灵魂
159966492560,一只 狼 一只 猫 一只 老鼠 一块儿 海绵 两只 熊 = 一个 比 什么 都 珍贵 的 童年
159800009616,小章鱼 明天 一定 会 哈哈 你 到底 是 活 了 356 天 还是 一天 重复 356 年
159631809520,b 站 特 色
159610505216,永不言败 痛仰
159442218880,日子 会 越来越 甜 的 你 信 吗
159326976704,小时候 看 章鱼 哥 总 觉得 他 很 丧 不 合群 现在 发现 他 才 是 最会 享受 生活 的 单身 独居 打 工人 如今 我 对 海绵 宝宝 的 印象 只 剩下 短 视频 里 a few moments later 的 转场 但 在 全球 它 有 接近 一半 的 观众 是 成年人 这片 看似 欢乐 的 比基尼 海滩 汇聚 了 现实 中 的 金钱 权利 欲望 人际关系 ... 小时候 看起来 疯疯癫癫 的 动画片 其实 早 在 童年 时 就 为 我们 描绘 了 世界 的 真实 景象 整部 动画片 里 我 印象 最深 的 台词 是 海绵 宝宝 的 口头禅 我 准备 好 啦 他 说 这句 话 时 脱口而出 底气 很足 他 时刻 准备 着 去 煎 汉堡 抓 水母 也 准备 着 迎接 惊喜 面对 恐惧 海绵 宝宝 似乎 永远 在线 不 宕机 长大 后 的 我们 却 随时 卡壳 想要 重启 .. 海绵 宝宝 的 创作者 史蒂芬 海伦 伯格 曾 说 我 希望 他 像 海底 的 杰瑞 刘易斯 是 一个 愚蠢 的 乐观主义 者 一个 孩子 般的 角色 任何 时候 都 看见 光明 的 一面 确实 长大 后 的 我们 很难 像 海绵 宝宝 一样 时刻 准备 着 但 我 想 每个 人 心中 总有 一个 地方 那个 角落 就 如同 这块 黄色 海绵 天真 柔软 也 有棱有角
159143800960,当 一个 正常人 和 一群 不 正常 的 人 在 一起 那个 正常人 就 成 了 异类
158999617904,自己 傻傻 有些 呆
158976029824,1145.1 万 的 播放 量 ( 悲 )
158964960896,错 的 不是 你 而是 这个 世界
158894353280,唉 : - ( 活着 好累 啊 好 想 离开 这个 世界 可是 又 有 什么 用 呢
158893883520,我 也好 想 回去 啊 可是 这有 什么 用 呢
158839727488,章鱼 哥 一个 在 社会 中 饱经风霜 的 人 的 真实 样貌
158835955184,工作 了 之后 再 看 这个 视频 又 有 不同 的 感觉
158771910224,章鱼 哥 配音 李易 先生 因 病 逝世 了
158708751520,小时候 梦想 成为 海绵 宝宝 长大 成 了 章鱼 哥
158598565408,嘲笑 章鱼 哥 理解 章鱼 哥 成为 章鱼 哥
158261572224,莫道 相逢 便是 缘 半数 爱恨 成 可怜 只 因 世间 多 虚妄 不 信 人心 信 容颜
157961782960,小时候 嘲笑 章鱼 哥 长大 后 可怜 章鱼 哥 现在 我 成为 了 章鱼 哥
157820665584,可笑 的 是 我们 连 章鱼 哥 都 不如 章鱼 哥有 独栋 双层 房子 有 一份 稳定 的 工作 有 吹 竖笛 这 一个 爱好 可 现实 中 的 我们 呢
157698758928,草鱼 哥 竟是 我 自己
157518562000,让 我们 快乐 是 我们 自己 让 我们 痛苦 的 也 是 我们 自己
157413595760,有 一集 就是 他们 吹 溜溜 笛 章鱼 哥一 吹 就 有声 而 海绵 宝宝 呢 他 一 吹 每个 人 都 开心 了
157401328448,怎么 看 都 没有 美好 的 迹象 吧
157323322784,那 是因为 你 是 一个 有 梦想 的 正常人
157222827728,是 把 世界 看 明白 了 很 不 快乐 可 却 仍 接受 事实 苦中作乐 此为 旷 迏
156765342112,要是 写 在 作文 里头 换点 词语 的话 那 指定 是 打 零分 我 觉得 作文 评语 应该 是 传播 负 能量
158954741200,这 不是 负 能量 现实 就是 这样 如果 评语 是 这么 写 的 只能 说明 那些 人不愿 承认 和 面对现实
156599141952,没 控制 住 哭 出来 了
156564783072,小时候 发现 海绵 宝宝 的 乐观 想 成为 海绵 宝宝 一样 乐观 的 人 成为 像 珊迪 一样 的 科学家 后来 发现 生活 被 蟹 老板 笼罩 自己 已然 成为 了 章鱼 哥 在 厌倦 了 和 痞 老板 的 勾心斗角 看透 了 世间 的 本质 后 成为 了 和 派 大星 一样 的 快乐 的 傻子
156560941824,小时候 挺 不 喜欢 章鱼 哥 的 但是 长大 了 才 明白 章鱼 哥 热爱 的 生活 是 我们 都 想要 的 可 却 得不到 的 但 章鱼 哥 还 在 一直 热爱 着 他 的 热爱 而 我 已经 没有 什么 热爱 的 东西 了
156407618768,海绵 宝宝 是 儿童 时 的 影子 章鱼 哥是 长大 后 的 影子
156265338720,我 下班 了 蟹 老板 我 要说 的 是 如果 有 一天 我 真的 实现 了 我 生命 中 的 梦想 我 永远 也 不会 让 我 的 双脚 站 在 这 油污 的 地板 上
155956975344,可是 海绵 宝宝 热爱 自己 的 工作 能够 从 工作 和 生活 中 获取 快乐 章鱼 哥 就 只会 抱怨 工作 的 时候 抱怨 工作 回家 以后 抱怨 邻居 所以 一直 不 快乐 为什么 海绵 宝宝 有 那么 多 朋友 因为 海绵 宝宝 是 利 他 的 能够 从利 他 中 得到 快乐 章鱼 哥 体会 不到 助人 之 乐 所以 既 不 快乐 也 没有 朋友 所以 章鱼 哥有 什么 好 歌颂 的
155776013856,我 像 章鱼 哥 但是 我 没有 一个 海绵 宝宝 那 般的 朋友
155706570208,海绵 宝宝 是 美好 的 理想 章鱼 哥是 残酷 的 现实派 大星 是 虚无 的 哲学 蟹 老板 是 无情 的 资本 小蜗 是 沉默 的 智者 珊迪 是 胆大 的 想象 凯伦 是 难得一见 的 爱情 痞 老板 是 永不 放弃 的 精神 珍珍 是 廉价 的 虚荣 泡 芙 阿姨 是 无穷的 渴望 虾霸 是 人人 羡慕 的 生活 泡泡 先生 是 虚假 的 人类 初看 不识 片中 理再 看 已 是 剧中人 看 啊 这 就是 生活 你 想 变成 什么样 的 人 拥有 着 怎样 的 心灵 除了 你 无人 能 去 决定 活在 当下 不如 去 闯 闯 你 的 梦想 未来 会 一直 等 着 你
155691473184,人人 都 嘲笑 章鱼 哥 长大 后 却是 章鱼 哥
155681172736,这 首歌 好像 法老 的 某 首歌
155925911248,2021 跨年 晚会 明天 是 美好 的 一天 你 看 当时 注明 了 作词 就是 来自 这个 up
155586263424,哦 他 死 了 是 吗 我 昨天 还 看到 他 在 工做 确实 他 本来 已经 死 了 但是 有人 替代 他 死去 了 谁 会 愿意 为了 那样 的 家伙 去 死 呢 哦 他 的 梦想 油污 的 地板 才 是 现实 站 在 舞台 的 梦想 遥不可及 哪怕 他 仍然 吹 着 竖笛 但 不过 是 他 的 不 甘心 可是 现实 就是 那样 你 越是 不 甘心 现实 就 越 让 你 绝望 每个 人 都 是 章鱼 哥 但是 每个 人 都 渴望 自己 是 海绵 宝宝 因为 不 甘心
155431651056,前提 是 我 有 快乐
154715960176,之前 重新 看 了 一遍 海绵 宝宝 看见 海绵 宝宝 也 有 难过 的 时候 看见 章鱼 哥 对 自己 的 鼓励 的 时候 觉得 原来 自己 变成 了 一个 大人 上 一次 这么 觉得 还是 在 意识 到 自己 这辈子 都 不能 御剑 飞行 的 时候 虽然 有 点子 丢人 我 真的 认真 的 难过 好久 还 哭 了 偶尔 会 想到 怦然心动 里面 男主 的 爸爸 理解 了 为什么 大人 会 不 自觉 反驳 天真 无厘头 的 幻想 言论 或许 也 是 一种 对于 自己 没有 能力 完成 曾经 的 幻想 梦想 的 无奈 或者 恼羞成怒 吧 唉
154511336256,章鱼 哥 的 E 小调 真的 很 好听
154447000832,开场 有 什么 比 把 快乐 带给 别人 更 快乐 的 呢 去 死 或者 别的 什么 我 不 知道 你 对 这个 有 这么 强烈 的 感觉 你 要 干什么 我 想 我 无法 阻止 你 但是 章鱼 哥 外面 是 一个 冷酷 的 世界 没有 人用 银 托盘 把 欢乐 带给 你
154389765008,希望 明天 梦想 能 起死回生 吧
153954119360,说真的 感觉 章鱼 哥 的 思维 是 真个 海绵 宝宝 里 唯一 的 正常人
155957326864,啥 是 正常人 一个 天天 抱怨 工作 不想 理 邻居 的 人 是 个 正常人
155967617696,回复 : 只是 跟 海绵 宝宝 里面 的 其他 角色 进行 对比 而已 比如 海绵 宝宝 宁愿 不要 工钱 他 也 要 去 打工
153786701040,这个 作品 从 年初 做到 现在 可以 说 是 我 做 的 时间 最长 的 一个 作品 了 中间 断断续续 因为 我 的 能力 有限 多次 打算 放弃 这个 视频 的 制作 但是 我 最后 还是 磨 了 出来 从 歌词 到 混音 我 推翻 重做 了 十几次 因为 章鱼 哥 的 台词 不 多 而且 很多 台词 因为 语气 声调 的 不同 而 不能 使用 歌词 便 写 了 又 改改 了 又 写 自己 也 想 过 自己 做 这个 视频 花 了 这么 长时间 播放 量 如果 还是 非常 惨淡 那该 怎么办 可是 我 还是 选择 做 这个 视频 因为 这个 视频 对 我 来说 有着 不同 的 意义 里面 的 歌词 或多或少 都 有着 自己 的 想法
153736134208,不 煽情 可能 吸引 不到 流量
153487708752,小时候 觉得 章鱼 哥 最 不 正常 长大 了 觉得 章鱼 哥 最 正常 是 绝大多数 普通人 但令 我 羡慕 的 是 他 依旧 能 热爱生活
153440390048,好像 法老 那首
153921771568,这个 鬼畜 视频 的 bgm 是 Flower dance -- Dj Okawari
155926022576,2021 跨年 晚会 明天 是 美好 的 一天 你 看 当时 注明 了 作词 就是 来自 这个 up
155927852912,回复 : woc
153403871600,从来 没当过 海绵 宝宝
153490627872,我 也 一样 想 表达 却 表达 不 出来
153403265904,亲爱 的 玩家 我 是 125 号 巡查 员 系统 检测 出 你 的 人物 情绪 有 问题 请 你 修复 人物 情绪 继续 完成 主线 任务 活着 祝 你 游戏 愉快 地球 OL125 号 巡查 员
154438125440,收到
156411169792,我 想 注销 账号 了
153254070736,小时候 不 明白 章鱼 哥 为什么 人 那么 郁郁寡欢 长大 了 发现自己 就是 章鱼 哥 一个打 工人 一个 把 梦想 埋进 坟墓 里 的 人
153208220352,我 以为 工作 了 我会 成为 海绵 宝宝 没想到 会 成为 章鱼 哥
153132990304,章鱼 哥是 社畜 到 海绵 之间 的 中间 物 他 被 社会 磨平 了 棱角 在内 心中 却 依然 保存 着 梦想 他 心中 保持 着 底限 表面 追求 安宁 实际上 渴望 自我 放 我 放纵 平时 麻木 宛如 僵尸 偶尔 展现出 丰富 的 梦想 甚至 会 暴露出 不 逊色 于 海绵 宝宝 的 疯狂
153057430816,是不是 改过 词
154438165968,词是 UP 主写 了 几十次 写 好 的 简介 里 有 写
154459896704,回复 : 好 厉害
152911660848,小时候 看 章鱼 哥 为什么 那么 严肃 啊 长大 后 看
152892644064,喊麦
152876980304,就是 这个
152470253408,蟹 老板 吃 蟹黄 堡 是不是 寓意 资本家 都 是 吃 人 血馒头 的
153966811712,皇堡
152189245104,希望 还有 希望 吗
154438251664,只要 怀抱 希望 希望 也 一定 会 拥抱 我们
152180228496,已 三联
151940454416,章鱼 哥是 社畜 到 海绵 之间 的 中间 物 他 被 社会 磨平 了 棱角 在内 心中 却 依然 保存 着 梦想 他 心中 保持 着 底限 表面 追求 安宁 实际上 渴望 自我 放 我 放纵 平时 麻木 宛如 僵尸 偶尔 展现出 丰富 的 梦想 甚至 会 暴露出 不 逊色 于 海绵 宝宝 的 疯狂
151858636592,有时候 觉得 自己 和 章鱼 哥 很 像
151804359680,背景音乐 是 什么
151903554976,花之舞
153057348096,回复 : 什么 乐器 版 的
154438333216,回复 : 钢琴 的 原版 就是 钢琴 弹 的
151791915504,我 小时候 的 梦想 就是 做 一个 海绵 宝宝 拯救 章鱼 哥
151714177232,看 完 这条 视频 怀着 忐忑 的 心情 和 老板 提了 离职
151908536016,做好 自己
153490918736,加油 人生 短暂 想 做 什么 事 就 去 做 吧
153534200960,回复 : 谢谢
151573743248,我 记得 以前 也 有 一个 讲 章鱼 哥 的 类似 视频 背景音乐 是 tassel 我 现在 找 不到 了 有 知道 的 人能 告诉 我 名字 叫 什么 吗
151574254320,找到 了 [ 章鱼 哥 的 歌 我 是 章鱼 哥 一个 未被发现 的 天才
151573283408,章鱼 哥篇
151416885088,第一次 看 鬼畜 没有 笑 出来
151415508768,请 你 保持 你 的 决心 事情 没 那么 简单
151364660144,章鱼 哥 可能 反 社会 珊迪 除了 暴力 倾向 才 算 最 正常 可 他 不是 Bikini bottom 的 原住民
154438296784,珊迪 是 有 一些 暴力 倾向 不过 好 在 不会 伤害 到 生命
151337435776,以前 不 明白 为什么 章鱼 哥 天天 闷闷不乐 现在 不 明白 海绵 宝宝 和 派 大星 每天 怎么 笑 得 出来
151274384864,每天 上班 打卡 下班 后 搞搞 兴趣爱好 晚上 睡大觉 也 算是 不错 的 生活 了
151272274208,原曲 是 什么
154438316224,花之舞
154438488896,花之舞
151215695456,法老
151178883904,银 托盘 这个 事情 法老 编了 一首歌
151166876944,我 想 我 是 章鱼 哥 一个 只能 将 自己 梦想 埋葬 孤独 普通 的 ......... 章鱼 哥
151109743328,真 奇怪
150693325360,甪 动画片 来 诉说 事实
150559009648,其实 章鱼 哥 吹 竖笛 不是 特别 也 难听 也 挺 好听 的
150278813312,章鱼 哥 就 像 成年人 讨厌 工作 但是 也 不得不 以 工作 因为 他们 需要 钱 海绵 宝宝 只是 导演 虚构 的 人物 罢了 他 就 像 我们 的 童年 即使 被 压榨 也 每天 保持 开心 我 很 敬佩 章鱼 哥 因为 他 是 一个 平凡 的 人
149627930576,b 站 特有 的 粉丝 越 少 品质 越好 喜
149558687984,我们 都 成为 了 章鱼 哥 而 不是 海绵 宝宝
149498122912,明天 是 更好 的 一天
149206488304,法老 唱 这歌 了
149588485840,求 链接
149668168576,回复 : 关注 法 老爷爷 然后 21 年 跨 年 那 一期
149107920128,这里 埋葬 的 章鱼 哥 的 梦想 是 第几 集中 文 配音
148804757472,看透 了 的 人 都 知道 章鱼 哥 既 冷漠 又 不 冷漠 派大星 虽然 他 很傻 但是 他 比 别人 更 懂 一切 海绵 宝宝 看似 很 开心 其实 也 有 不 开心 的 时候 海绵 宝宝 里面 所有 的 主角 都 一样 他们 又 什么 又 不 什么 _
148580995280,这是 法老 的 歌词 吗 有点 耳熟
149498216208,法老 应该 借鉴 这个 视频 了
148512758464,章鱼 哥 为什么 讨厌 海绵 宝宝 呢
148551874032,就 像是 你 累 了 一天 想 睡 一下 觉 之后 有 一个 邻居 在 吵吵闹闹
148459248400,我 想起 了 之前 章鱼 哥 想要 卖掉 自己 房子 的 时候 的 一句 台词 : 你 是 章鱼 哥 我 是 章鱼 哥 他 是 章鱼 哥 我们 都 是 章鱼 哥是 的 我们 确实 都 是 章鱼 哥
148241098464,播放 量 大多 都 来 是 派 大星 的 视频 所 转来 的
148134301712,人生 无常 大常 包小常
148126143312,问 一下 法老 是 翻唱 的 这个 吗
147698512352,我 有 一个 梦 一个 当 艺术家 的 梦 但 那 仅仅 是 一个 梦 她 已经 死 了 -- 章鱼 哥 那里 埋葬 着 我 的 梦想 我 多么 希望 我 的 梦想 本来 是 死 的 而 不是 被 活埋 的 -- 章鱼 哥 当 圣人 不偏 不移 的 走 在 正确 的 道路 上时 何曾 想过 意外 又 何曾 想过 普通人 当 真正 出现意外 时 圣人 变成 了 乞丐 试图 劝说 普通人 回归 正轨 可 那 普通人 又 是 谁 呢 -- 章鱼 哥 如果 有 一天 我 真的 实现 了 我 的 梦想 我 永远 不会 让 我 的 双脚 站 在 这 油污 的 地板 上 -- 章鱼 哥 这 油污 的 地板 正在 杀死 我 的 灵魂 我 快要 死 了 我 找 不到 捷径 和 远路 此路不通 -- 章鱼 哥 赏点 钱 吧 女士 给 我 这个 死人 -- 章鱼 哥 我 的 歌曲 很 有 价值 但 我 早 已经 死 了 -- 章鱼 哥 梵高 一直 活着 而 我 却 永远 死 了 衣带渐宽终不悔 为 伊 消得人 憔悴 我 将 活下去 -- 章鱼 哥 我 永远 活着 ! ......
147553094048,像 我 可 我 只是 个 孩子
147493914672,加油
147238637984,章鱼 哥是 唯一 正常人
147211555680,是 孤独 了 吗 我 有 一个 特异功能 ( ) 就是 我可以 把 我 的 眉毛 摘下来 ( ) 摘下 ( ) 安上 ( ) 又 摘下 ( ) 再 安上 ( ) 2 边 都 摘下 ( ) 嘿嘿 厉害 吧 现在 有没有 开心 一 丢 丢 没有 的话 我 的 眉毛 会 难过 的
147087737440,小时候 看 海绵 宝宝 的 时候 注意力 全在 海绵 宝宝 身上 觉得 海绵 宝宝 乐观 阳光 开朗 向上 相反 章鱼 哥则 是 懒惰 平庸 不上 进 但 现在 看来 海绵 宝宝 这部 动画 反映 的 不 就是 人生 吗 海绵 宝宝 代表 成功 章鱼 哥 代表 现实 蟹 老板 代表 利益 派大星 代表 平凡 痞 老板 代表 努力 珊迪 代表 亲 和 海绵 宝宝 有 一群 好 朋友 章鱼 哥 平凡 但 不甘 平庸 派大星 无忧无虑 的 生活 在 石头 底下 蟹 老板 为了 利益 能 出卖 海绵 宝宝 痞 老板 是 无时无刻 都 想 蟹 堡 密方 海绵 宝宝 作为 这部 动漫 的 主角 每天 重复 着 单调 的 工作 和 单一 的 娱乐 抓 水母 和 做 蟹 堡 虽然 永远 学 不会 开车 但 为 人 友善 拥有 众多 好 朋友 派大星 石头 底下 的 天才 一个 连开 收割机 都 有证 的 海星 有 一集 变成 了 天才 也许 他 本来 就是 个 天才 天才 生来 就是 孤独 的 为了 友谊 而 放弃 天才 身份 章鱼 哥是 这部 动画 最 现实 的 有 个 当 音乐家 的 梦 却 没人 欣赏 他 的 才华 千里马 常有 而 伯乐 不 常有 有 一集 海绵 宝宝 失去 了 他 的 菠萝 屋 章鱼 哥 也 很大 方 的 邀请 他 去 自己 家住 最 经典 的 是 这里 埋葬 着 章鱼 哥 的 梦想 蟹 老板 势利眼 为了 两毛五 将 海绵 宝宝 的 灵魂 出卖 给 幽灵 海盗 铁公鸡 但 唯独 对 自己 女儿 毫不 吝啬 有 一集 珍珍 过生日 蟹 老板 大手 一挥 让 女儿 和 偶像 见面 事后 虽 心疼 不已 但 也 感觉 值 了 经典 有钱 能 使 磨 推鬼 然后 是 痞 老板 作为 这部 动画 的 一个 反派 却是 最 值得 学习 的 那个 知道 自己 的 目标 是 什么 并且 为了 实现目标 而 努力 珊迪 陆地 来 的 科学家 并 没有 自诩清高 而 排挤 海绵 宝宝 和 派 大星 也 没有 因为 痞 老板 是 反派 就 否认 他 的 才华 平易近人
146981075968,填词 稍差 了 些 不然 能 更好
146738899744,章鱼 哥 艺术 才华 不行 乐器 天赋 亦然 但 还 自命不凡 怨世 不公 是 最大 的 缺点 其他 都 是 正常人 不过 有集 章鱼 哥当 音乐 指挥 很 厉害 说明 音乐 方面 还是 有 才能 的
146707771440,小时候 喜欢 看 海绵 宝宝 现在 喜欢 看 海绵 宝宝
146680840048,这 不是 法老 的 歌词 吗
146709130672,法老 的 歌 是 这个 视频 二创 啦
146672509344,多少 集
146584651120,这 是 哪 一集
146564180848,小时候 在 想 为什么 章鱼 哥 总 不 开心 长大 了 在 想 为什么 海绵 宝宝 总是 开心
146532092992,外面 是 一个 冷酷 的 世界 没有 人用 银 托盘 把 欢乐 带给 你
146527702880,没人 爱
146517561680,快 三年 了
146492657664,尚未 佩妥 剑 转眼 却 江湖
