评论内容,分词结果
红色我个人理解是参宿对南河的愧疚感,红色 我 个人 理解 是 参宿 对 南河 的 愧疚 感
深海大饭店后面不翻了知道为什么吗试看结束再翻这边就没人买了,深海 大饭店 后面 不翻 了 知道 为什么 吗 试看 结束 再 翻 这边 就 没人 买 了
在我心中这是神作在我看来深海比大圣归来更好看没有冒险奇幻元素梦结局对于任何作品都是噩梦但除了这类意识流作品梦结局反而升华了参宿不愿面对现实但最后还是被自己脑补的恩人给劝回去了带来她虚假美好的不就是现实吗再短暂的花火也比书中的希望之火璀璨再短暂的血浪也能吞噬这虚假之火是真不理解打差评的人生活中就没经历过苦难没一点儿共情能力非得打打杀杀才好看是吧建议别看电影看电影解说特效打戏管够这类作品只有纯粹的艺术没有任何商业本身也不方便出续作捞钱但它们的艺术性对世界的影响是那些商业片可能永远做不到打个比方三体可能永远没哈利波特赚的钱多但内涵是哈利波特达不到(无恶意)内涵要么深到只有经历者才能感受要么就是争议很大大多数人都不能接受比如三体开始我就觉得这是场梦透明罩那段简直封神可能是因为都有过惨痛的经历我比较能共情我是校园欺凌的受害者虽然现在不在被欺凌但照样孤僻对感觉到极大的孤独我就想我这么孤僻就要孤独终老了令人意外的是那家餐厅的书还真存在最后一段就在那翻书好吧深海商业性也挺强的周边无缝插入在下属实佩服,在我心中 这是 神作 在我看来 深海 比 大圣 归来 更好 看 没有 冒险 奇幻 元素 梦 结局 对于 任何 作品 都 是 噩梦 但 除了 这 类 意识流 作品 梦 结局 反而 升华 了 参宿 不愿 面对现实 但 最后 还是 被 自己 脑补 的 恩人 给 劝回去 了 带来 她 虚假 美好 的 不 就是 现实 吗 再 短暂 的 花火 也 比书 中 的 希望 之火 璀璨 再 短暂 的 血浪 也 能 吞噬 这 虚假 之火 是 真 不 理解 打差评 的 人 生活 中 就 没 经历 过 苦难 没 一点儿 共情 能力 非得 打打杀杀 才 好看 是 吧 建议 别看 电影 看 电影 解说 特效 打戏 管够 这类 作品 只有 纯粹 的 艺术 没有 任何 商业 本身 也 不 方便 出续 作 捞钱 但 它们 的 艺术性 对 世界 的 影响 是 那些 商业片 可能 永远 做 不到 打个比方 三体 可能 永远 没 哈利波 特 赚 的 钱 多 但 内涵 是 哈利波 特达 不到 ( 无 恶意 ) 内涵 要么 深 到 只有 经历 者 才能 感受 要么 就是 争议 很大 大多数 人 都 不能 接受 比如 三体 开始 我 就 觉得 这 是 场 梦 透明 罩 那段 简直 封神 可能 是因为 都 有 过 惨痛 的 经历 我 比较 能共情 我 是 校园 欺凌 的 受害者 虽然 现在 不 在 被 欺凌 但 照样 孤僻 对 感觉 到 极大 的 孤独 我 就 想 我 这么 孤僻 就要 孤独 终老 了 令人 意外 的 是 那家 餐厅 的 书 还 真 存在 最后 一段 就 在 那 翻书 好 吧 深海 商业性 也 挺 强 的 周边 无缝 插入 在 下 属实 佩服
我感觉这样剧情的安排更符合梦境因为我对于梦感情波动最大的一部分就是在快醒的时候,我 感觉 这样 剧情 的 安排 更 符合 梦境 因为 我 对于 梦 感情 波动 最大 的 一部分 就是 在 快醒 的 时候
导演配的小丑鱼是哪位,导演 配 的 小丑鱼 是 哪位
这部动画让我看到了中国动漫电影的未来不只是技术,这部 动画 让 我 看到 了 中国 动漫 电影 的 未来 不 只是 技术
南河为了陌生小女孩放弃自救机会给我看哭了,南河 为了 陌生 小女孩 放弃 自救 机会 给 我 看 哭 了
这是继千与千寻之后最震撼我心灵的动画电影没有之一,这 是 继 千与千寻 之后 最 震撼 我 心灵 的 动画电影 没有 之一
整点大圣2给这些b人看就没这么多骂的了一辈子自娱自乐不是大圣就是哪吒跳不出这个框架,整点 大圣 2 给 这些 b 人 看 就 没 这么 多 骂 的 了 一辈子 自娱自乐 不是 大圣 就是 哪吒 跳不出 这个 框架
看前面有点看不懂我是真的以为他穿越到了另一个世界但是当你看到后面明白了他们并不是穿越而是这个小女孩内心的世界可以说真的特别特别牛逼吧也希望今后中国动漫电影也有这样的水平越来越好,看 前面 有点 看不懂 我 是 真的 以为 他 穿越 到 了 另 一个 世界 但是 当 你 看到 后面 明白 了 他们 并 不是 穿越 而是 这个 小女孩 内心 的 世界 可以 说真的 特别 特别 牛 逼 吧 也 希望 今后 中国 动漫 电影 也 有 这样 的 水平 越来越 好
根本不好看,根本 不 好看
支持,支持
那些说看不懂的人可以理解为共情能力不强但那些无脑黑的人我觉得就是为黑而黑找存在感这种黑评大多数都是没有任何理由任何依据就说是垃圾电影的我认为发布黑评的这类人活着的意义就是活着的时候想尽办法惹别人反感入土后让人舒适畅快总之就是欲扬先抑,那些 说 看不懂 的 人 可以 理解 为共情 能力 不强 但 那些 无脑 黑 的 人 我 觉得 就是 为 黑 而 黑 找 存在 感 这种 黑评 大多数 都 是 没有 任何理由 任何 依据 就 说 是 垃圾 电影 的 我 认为 发布 黑评 的 这 类人 活着 的 意义 就是 活着 的 时候 想尽办法 惹 别人 反感 入土 后 让 人 舒适 畅快 总之 就是 欲扬先抑
正确的中肯的,正确 的 中肯 的
千言万语汇成一个字:好,千言万语 汇成 一个 字 : 好
这电影真的不错感觉是拍给抑郁症孩子,这 电影 真的 不错 感觉 是 拍 给 抑郁症 孩子
我还以为南河是取自南柯一梦整篇以星宿的幻觉为主体梦星宿从船上木掉到水里氵 于是柯变成了河南河,我 还 以为 南河 是 取自 南柯一梦 整篇 以 星宿 的 幻觉 为 主体 梦 星宿 从 船上 木掉 到 水里 氵 于是 柯 变成 了 河南 河
给我的感觉就是作者云南蘑菇吃多了,给 我 的 感觉 就是 作者 云南 蘑菇 吃 多 了
濒死幻境是这样的,濒死 幻境 是 这样 的
确实想起来道德与法治ol也有磕药关差不多,确实 想 起来 道德 与 法治 ol 也 有 磕药关 差不多
前期基本上看到一些细节就知道不对劲了有些东西有些人一看就知道不对劲只是没有才到具体是什么事我以为是那个小女孩吃药了南河是她的病友发现了要她吐出来治疗抑郁症的药物确实具有致幻效果吃多了会窒息能和海精灵汤相互照应最后南河把一身丧气鬼的参宿推到光里南河却坠入黑暗小丑假笑抑郁症也能对应这是最初我猜的人设吃药是现实世界鬼门关和一系列危险是里世界深海饭店是参宿最底层的梦一共三层关于母亲海洋的二层世界包裹着现实互为表里脑洞没往参宿真掉水里那么大的方向去不过也猜了个差不多至少前期就猜到南河一定会死毕竟又吐舌头又回家的也不是阳间人干的事可见电影前期并不是完全天马行空 不过我爱南河男妈妈,前期 基本上 看到 一些 细节 就 知道 不对劲 了 有些 东西 有些 人一看 就 知道 不对劲 只是 没有 才 到 具体 是 什么 事 我 以为 是 那个 小女孩 吃药 了 南河 是 她 的 病友 发现 了 要 她 吐出来 治疗 抑郁症 的 药物 确实 具有 致幻 效果 吃 多 了 会 窒息 能和海 精灵 汤 相互 照应 最后 南河 把 一身 丧气 鬼 的 参宿 推到 光里 南河 却 坠入 黑暗 小丑 假笑 抑郁症 也 能 对应 这是 最初 我 猜 的 人设 吃药 是 现实 世界 鬼门关 和 一系列 危险 是 里 世界 深海 饭店 是 参宿 最底层 的 梦 一共 三层 关于 母亲 海洋 的 二层 世界 包裹 着 现实 互为表里 脑洞 没往 参宿 真掉 水里 那么 大 的 方向 去 不过 也 猜 了 个 差不多 至少 前期 就 猜 到 南河 一定 会 死 毕竟 又 吐舌头 又 回家 的 也 不是 阳间 人 干的事 可见 电影 前期 并 不是 完全 天马行空 不过 我 爱 南河 男 妈妈
班会课放完这部电影下课去吃饭我和我同学三人在路上都不敢讲话怕哭出声,班会课 放 完 这部 电影 下课 去 吃饭 我 和 我 同学 三人 在 路上 都 不敢 讲话 怕 哭 出声
就算不看剧情深海的画面和音乐也非常非常好啊又想看了,就算 不看 剧情 深海 的 画面 和 音乐 也 非常 非常 好 啊 又 想 看 了
看这电影票房这么惨淡就想问学动画的大学生还有信心嘛,看 这 电影票房 这么 惨淡 就 想 问学 动画 的 大学生 还有 信心 嘛
剧本狗屎画面光污染,剧本 狗屎 画面 光污染
出场的时间不对首先是在春节档出了不太喜庆的题材当时和流浪地球还有那个啥来着撞了而流浪地球的关注度远远高于深海其次就是现社会对抑郁症了解的并不多有较多的刻板印象然后还有现在的人看电影都不愿意思考太深不愿意关注制作的细节和剧情伏笔只愿意追求画面和目前所看到的画面不愿意思考看的就云里雾里就像下面这个人无脑黑说光污染但处于梦境中本就颜色纷乱而主角又是一个小孩小孩的梦五光十色本就正常,出场 的 时间 不 对 首先 是 在 春节 档出 了 不 太 喜庆 的 题材 当时 和 流浪 地球 还有 那个 啥 来 着 撞 了 而 流浪 地球 的 关注度 远远 高于 深海 其次 就是 现 社会 对 抑郁症 了解 的 并不多 有 较 多 的 刻板 印象 然后 还有 现在 的 人 看 电影 都 不 愿意 思考 太深 不 愿意 关注 制作 的 细节 和 剧情 伏笔 只 愿意 追求 画面 和 目前 所 看到 的 画面 不 愿意 思考 看 的 就 云里雾里 就 像 下面 这个 人 无脑 黑说 光污染 但 处于 梦境 中本 就 颜色 纷乱 而 主角 又 是 一个 小孩 小孩 的 梦 五光十色 本 就 正常
我最初的思想,我 最初 的 思想
绝佳电影人生记忆,绝佳 电影 人生 记忆
我不知道这个动画片团队的合作关系只能说市场接受度很低市场的喜好也是一种科学大学问只有赚钱才能让中国动画片正循环,我 不 知道 这个 动画片 团队 的 合作 关系 只能 说 市场 接受度 很 低 市场 的 喜好 也 是 一种 科学 大学 问 只有 赚钱 才能 让 中国 动画片 正 循环
够了都是语文课代表(益),够 了 都 是 语文课 代表 ( 益 )
前中期给我一种千与千寻的感觉后期像是泰坦尼克号,前中期 给 我 一种 千与千寻 的 感觉 后期 像是 泰坦尼克号
喜欢动画电影正是因为看了一遍又一遍的精灵旅社12神偷奶爸千与千寻哈尔的移动城堡等等等我都反复咀嚼才明白深海在大银幕上的可贵希望我所期待的国产动画电影越来越好田导也是第一位导演再世界动画领域里的创新的导演一年过去了评论区的人依旧持有偏见时间自会证明,喜欢 动画电影 正是 因为 看 了 一遍 又 一遍 的 精灵 旅社 12 神偷 奶爸 千与千寻 哈尔 的 移动 城堡 等等 等 我 都 反复 咀嚼 才 明白 深海 在 大 银幕 上 的 可贵 希望 我 所 期待 的 国产 动画电影 越来越 好田导 也 是 第一位 导演 再 世界 动画 领域 里 的 创新 的 导演 一年 过去 了 评论 区 的 人 依旧 持有偏见 时间 自 会 证明
定格电影我都反复嚼僵尸新娘科学怪狗小羊肖恩等等我都只算有一丢丢的动画阅片量深海真的难得来之不易,定格 电影 我 都 反复 嚼 僵尸 新娘 科学 怪狗 小羊 肖恩 等等 我 都 只算 有 一 丢 丢 的 动画 阅片量 深海 真的 难得 来之不易
女主一家是照着导演一家画的是吧,女主 一家 是 照着 导演 一家 画 的 是 吧
恶意那么大,恶意 那么 大
回复 :原来不止我觉得这俩人做得诡异啊,回复 : 原来 不止 我 觉得 这俩 人 做 得 诡异 啊
皮套的出生程度我认可了,皮套 的 出生 程度 我 认可 了
回复 : 这都骂轻了,回复 : 这 都 骂 轻 了
后半段哭死我了,后半段 哭 死 我 了
哈哈我是来看电影的不是来照镜子的,哈哈 我 是 来看 电影 的 不是 来 照镜子 的
个人理解这部电影像是在模拟梦的过程前半部分平常的不容易记住然后逐渐的扭曲变形甚至鬼畜到了几近疯狂甚至不真实的时候也该醒了,个人 理解 这部 电影 像是 在 模拟 梦 的 过程 前半部 分 平常 的 不 容易 记住 然后 逐渐 的 扭曲 变形 甚至 鬼畜 到 了 几近 疯狂 甚至 不 真实 的 时候 也 该 醒 了
好好看啊色彩真的超级绝我是动画专业的这技术真的牛,好好看 啊 色彩 真的 超级 绝 我 是 动画 专业 的 这 技术 真的 牛
嗟乎国人愚昧不懂电影的本质,嗟乎 国人 愚昧 不 懂 电影 的 本质
当时去影院看的3D画面很美整体感觉也很好从感觉南河不对劲儿了就开始哭一直哭到结尾现在刷到相关片段还是泪目勇敢向前走走过黑夜,当时 去 影院 看 的 3D 画面 很 美 整体 感觉 也 很 好 从 感觉 南河 不 对劲儿 了 就 开始 哭 一直 哭 到 结尾 现在 刷到 相关 片段 还是 泪目 勇敢 向前走 走过 黑夜
电影做的很好要是我看得懂就更好了,电影 做 的 很 好 要是 我 看得懂 就 更好 了
当时看到预告就被它精美的画面所吸引看完之后后劲儿确实挺大的看着看着仿佛是可以代入自己能切身体会到参宿她的情绪变化她的开心难过失落最后有人说她醒来了得到了救赎即将开始新生但是不论是什么当时觉得她应该在美梦中睡去因为现实是一个冷漠的世界不被关心和理解的世界但是在梦里得到了救赎一切都是那么美好至少是幸福的南河他也是一个很伟大的人他自己其实也很痛苦但是他依然拼尽全力拯救了参宿生命或者是心灵但是现实中也并不会有那么多的救赎者感觉这部电影是天鹅绒里藏着的针它直戳内心深处是一种抚慰但也是在引起伤痛每次说到看到深海总觉得想哭它也用极致的色彩诉说了梦的不真实和美好绚烂但是同时破碎之时也是痛的,当时 看到 预告 就 被 它 精美 的 画面 所 吸引 看 完 之后 后 劲儿 确实 挺大 的 看着 看着 仿佛 是 可以 代入 自己 能 切身体会 到 参宿 她 的 情绪 变化 她 的 开心 难过 失落 最后 有人 说 她 醒来 了 得到 了 救赎 即将 开始 新生 但是 不论是 什么 当时 觉得 她 应该 在 美梦 中 睡 去 因为 现实 是 一个 冷漠 的 世界 不 被 关心 和 理解 的 世界 但是 在 梦里 得到 了 救赎 一切都是 那么 美好 至少 是 幸福 的 南河 他 也 是 一个 很 伟大 的 人 他 自己 其实 也 很 痛苦 但是 他 依然 拼 尽全力 拯救 了 参宿 生命 或者 是 心灵 但是 现实 中 也 并 不会 有 那么 多 的 救赎 者 感觉 这部 电影 是 天鹅绒 里 藏 着 的 针 它 直 戳 内心深处 是 一种 抚慰 但 也 是 在 引起 伤痛 每次 说 到 看到 深海 总 觉得 想 哭 它 也 用 极致 的 色彩 诉说 了 梦 的 不 真实 和 美好 绚烂 但是 同时 破碎 之时 也 是 痛 的
真的太好看了某天晚上躺在床上就有一种深海的力量顶着我永远不能忘怀的电影之一了,真的 太 好看 了 某天 晚上 躺 在 床上 就 有 一种 深海 的 力量 顶 着 我 永远 不能忘怀 的 电影 之一 了
看看今年的春节档 这种说吧 深海太过太过超前 太过太过大胆 只能说也许今年的春节档才是国人认可与喜爱的吧,看看 今年 的 春节 档 这种 说 吧 深海 太过 太过 超前 太过 太过 大胆 只能 说 也许 今年 的 春节 档才 是 国人 认可 与 喜爱 的 吧
一年了,一年 了
主要是深海......美术风格颜色太鲜艳了应该是没几个学设计的人是会称赞这点的吧问了几个朋友全都对深海表示了差评并且表示鲜艳过头像ai画的一样又浓又重黏黏糊糊粘在一起 我看海报的时候觉得虽然鲜艳了点但也还能接受但看见截图片段的时候果然还是生理不适了更别提要长期观看这种风格的绘画要是自己再套个疲惫的时候想放松的debuff能直接两眼一黑吐出来 以及真的别再捧杀这部片子了本来抑郁症这种话题争议就多就连是不是抑郁症题材都有人吵架别吹什么国产动漫的天花板了和再也不会出现的神作了还说不能欣赏和共情的观众就只配看烂片和快餐文学真的很让人反感只会让本来不感兴趣的人直接化身万年黑先别说讨论精神世界题材的电影实在多的不能更多了连叙事手法都有做的更好的先例还拿了奥斯卡奖自己私底下说说就好了不要去别的地方吹了,主要 是 深海 ...... 美术 风格 颜色 太 鲜艳 了 应该 是 没 几个 学 设计 的 人 是 会 称赞 这点 的 吧 问 了 几个 朋友 全都 对 深海 表示 了 差评 并且 表示 鲜艳 过 头像 ai 画 的 一样 又 浓 又 重 黏 黏糊糊 粘 在 一起 我 看 海报 的 时候 觉得 虽然 鲜艳 了 点 但 也 还 能 接受 但 看见 截 图片 段 的 时候 果然 还是 生理 不适 了 更 别提 要 长期 观看 这种 风格 的 绘画 要是 自己 再套 个 疲惫 的 时候 想 放松 的 debuff 能 直接 两眼 一黑 吐出来 以及 真的 别 再 捧杀 这部 片子 了 本来 抑郁症 这种 话题 争议 就 多 就 连 是不是 抑郁症 题材 都 有人 吵架 别 吹 什么 国产 动漫 的 天花板 了 和 再也不会 出现 的 神作 了 还 说 不能 欣赏 和 共情 的 观众 就 只配 看 烂片 和 快餐 文学 真的 很 让 人 反感 只会 让 本来 不感兴趣 的 人 直接 化身 万年 黑先 别说 讨论 精神 世界 题材 的 电影 实在 多 的 不能 更 多 了 连 叙事 手法 都 有 做 的 更好 的 先例 还 拿 了 奥斯卡奖 自己 私底下 说 说 就 好 了 不要 去 别的 地方 吹 了
拿奥斯卡的先例是哪部电影啊想去看看了解下,拿 奥斯卡 的 先例 是 哪部 电影 啊 想 去 看看 了解 下
回复 :少年派呀,回复 : 少年 派 呀
我真的觉得深海很有意义很多人觉得剧情或者角色形象不好开始我也觉得无聊但后半段做的很好参宿处于一种孤独逃避伤心懂事的状态这部电影也许并没有令人惊叹的剧情也许没有美丽帅气的男女主角它好像只是给你一个希望一个慰藉告诉因家庭受伤内心迷茫的人生活中总有像南河一样的人滑稽搞笑为生活费尽心思但你是重要的你是不可替代的他会为了参宿奋不顾身也许观看这部电影的我们会遇见南河也许不会那我们就可以是南河,我 真的 觉得 深海 很 有 意义 很多 人 觉得 剧情 或者 角色 形象 不好 开始 我 也 觉得 无聊 但 后半段 做 的 很 好 参宿 处于 一种 孤独 逃避 伤心 懂事 的 状态 这部 电影 也许 并 没有 令人惊叹 的 剧情 也许 没有 美丽 帅气 的 男女 主角 它 好像 只是 给 你 一个 希望 一个 慰藉 告诉 因 家庭 受伤 内心 迷茫 的 人 生活 中总有 像 南河 一样 的 人 滑稽 搞笑 为 生活 费尽心思 但 你 是 重要 的 你 是 不可 替代 的 他 会 为了 参宿 奋不顾身 也许 观看 这部 电影 的 我们 会 遇见 南河 也许 不会 那 我们 就 可以 是 南河
看懂了的人和看不懂的人确实有些区别当时这部电影刚出来的时候我想去看但我弟弟想要看熊出没我就陪他去看熊出没了后来在手机上补了很后悔没去电影院看我拉着我姐姐看这部电影的时候听她反馈是说看不下去看不懂我让她看到后面后来她还是看不下去就没看了,看 懂 了 的 人 和 看不懂 的 人 确实 有些 区别 当时 这部 电影 刚 出来 的 时候 我 想 去 看 但 我 弟弟 想要 看 熊出没 我 就 陪 他 去 看 熊出没 了 后来 在 手机 上补 了 很 后悔 没 去 电影院 看 我 拉 着 我 姐姐 看 这部 电影 的 时候 听 她 反馈 是 说 看不下去 看不懂 我 让 她 看到 后面 后来 她 还是 看不下去 就 没 看 了
这部电影如果晕3d的话在手机上看挺好的电影院关灯高饱和画面和绚烂的场景粒子特效真的叠在一起会比较晕前期我真的看得很晕但是我在手机上看就觉得很舒服,这部 电影 如果 晕 3d 的话 在 手机 上 看 挺 好 的 电影院 关灯 高 饱和 画面 和 绚烂 的 场景 粒子 特效 真的 叠 在 一起 会 比较 晕 前期 我 真的 看得 很 晕 但是 我 在 手机 上 看 就 觉得 很 舒服
刚看完回来从一个多小时的时候哭到电影结尾,刚看 完 回来 从 一个多 小时 的 时候 哭 到 电影 结尾
去年公司搞团建行政小姑娘在大屏幕上放的一开始看着是动画片觉得现在小年轻太幼稚了净整些花里胡哨的不过也完整看完了前面看不太懂后面收尾被震撼到了虽然不理解抑郁症病人但有一个能救赎你的南河真得很好,去年 公司 搞 团建 行政 小姑娘 在 大屏幕 上放 的 一 开始 看着 是 动画片 觉得 现在 小 年轻 太 幼稚 了 净 整些 花里胡哨 的 不过 也 完整 看 完 了 前面 看 不 太 懂 后面 收尾 被 震撼 到 了 虽然 不 理解 抑郁症 病人 但 有 一个 能 救赎 你 的 南河 真得 很 好
很重要的一个细节up没说整片电影是倒序的所以也很难让路人接受这电影也是开国漫之先河感这么拍的一般人也确实不敢这么拍万一前面没吊住胃口后面这么一整以为是卖惨的就是有观众没带入进去的那这电影就废了也就是一个好看一点的动画片,很 重要 的 一个 细节 up 没说 整片 电影 是 倒序 的 所以 也 很 难 让路 人 接受 这 电影 也 是 开国 漫 之 先河 感 这么 拍 的 一般 人 也 确实 不敢 这么 拍 万一 前面 没吊住 胃口 后面 这么 一整 以为 是 卖 惨 的 就是 有 观众 没 带入 进去 的 那 这 电影 就 废 了 也 就是 一个 好看 一点 的 动画片
但是这导演确实是做到了并且做到了极致甚至考虑到观众的视角真的6,但是 这 导演 确实 是 做到 了 并且 做到 了 极致 甚至 考虑 到 观众 的 视角 真的 6
但我还是没看懂,但 我 还是 没看 懂
深海的故事叙述因该借鉴了李安的少年派的奇幻漂流叙事非常的像但没想到口碑差距那么大,深海 的 故事 叙述 因该 借鉴 了 李安 的 少年 派 的 奇幻 漂流 叙事 非常 的 像 但 没想到 口碑 差距 那么 大
有点像但是剧情安排和节奏差距太大了奇幻漂流一个套一个的小高潮和最后的意想不到留白的结局特别过瘾而且奇幻漂流无论哪边的描述都并非做梦但有做梦的浪漫深海.....就和差评说的那样,有点像 但是 剧情 安排 和 节奏 差距 太大 了 奇幻 漂流 一个套 一个 的 小高潮 和 最后 的 意想不到 留白 的 结局 特别 过瘾 而且 奇幻 漂流 无论 哪边 的 描述 都 并非 做梦 但 有 做梦 的 浪漫 深海 ..... 就 和 差 评说 的 那样
梦是现实的映射参宿对南河在现实的印象就是从一开始的贪财大人的形象到后来舍命救她的大哥哥这和梦里的逻辑是一致的只是就像我们做梦一样很多时候是对现实欲望或者说情绪的反映但肯定是东一榔头西一棒槌的展现比如你上一秒还在一个梦的场景中下一秒可能就换到了另一个场景很跳脱这才是梦所以我觉得梦里参宿对南河态度的转变很突然恰恰与现实中参宿对南河印象的转变完美契合从这点来看这位编剧的处理手法简直可以撑的上是完美还有这片的美术风格和梦简直完美契合完美,梦 是 现实 的 映射 参宿 对 南河 在 现实 的 印象 就 是从 一 开始 的 贪财 大人 的 形象 到 后来 舍命 救 她 的 大 哥哥 这和梦里 的 逻辑 是 一致 的 只是 就 像 我们 做梦 一样 很多 时候 是 对 现实 欲望 或者说 情绪 的 反映 但 肯定 是 东一 榔头 西一 棒槌 的 展现 比如 你 上 一秒 还 在 一个 梦 的 场景 中 下 一秒 可能 就 换 到 了 另 一个 场景 很 跳脱 这才 是 梦 所以 我 觉得 梦里 参宿 对 南河 态度 的 转变 很 突然 恰恰 与 现实 中 参宿 对 南河 印象 的 转变 完美 契合 从 这点 来看 这位 编剧 的 处理 手法 简直 可以 撑 的 上 是 完美 还有 这片 的 美术 风格 和 梦 简直 完美 契合 完美
前半部分没撑下来画面元素太多色彩太多而且有些悬崖上的金鱼姬和千与千寻的影子当时没去电影院看家里音响让我还很难听清楚角色在讲些什么确实让我看得头疼有机会重新补下后面剧情,前半部 分没撑 下来 画面 元素 太 多 色彩 太 多 而且 有些 悬崖 上 的 金鱼 姬 和 千与千寻 的 影子 当时 没 去 电影院 看 家里 音响 让 我 还 很 难听 清楚 角色 在 讲些 什么 确实 让 我 看 得 头疼 有 机会 重新 补 下 后面 剧情
这部电影和李安的少年派与的奇幻漂流故事叙述方式几乎一模一样但口碑差距真的让人感觉有点奇怪,这部 电影 和 李安 的 少年 派 与 的 奇幻 漂流 故事 叙述 方式 几乎 一模一样 但 口碑 差距 真的 让 人 感觉 有点 奇怪
回复 :我觉得还是因为选错载体了在大部分中国人的思维里动画就是给小孩子看的所以能看得懂得人几乎都没去看去看的人大部分都看不懂我也是差点错过了这个片子没看之前我以为又是那种哄小孩动画片,回复 : 我 觉得 还是 因为 选错 载体 了 在 大部分 中国 人 的 思维 里 动画 就是 给 小孩子 看 的 所以 能 看得懂 得 人 几乎 都 没 去 看 去 看 的 人 大部分 都 看不懂 我 也 是 差点 错过 了 这个 片子 没 看 之前 我 以为 又 是 那种 哄 小孩 动画片
现实就是现实去年是裁员减薪B站up收入大降的一年,现实 就是 现实 去年 是 裁员 减薪 B 站 up 收入 大降 的 一年
看了 没看懂 很讨厌 表现在东西根本不突出 突出一个臆想 不喜欢,看 了 没看 懂 很 讨厌 表现 在 东西 根本 不 突出 突出 一个 臆想 不 喜欢
回复 :罕见的粉丝是这样的,回复 : 罕见 的 粉丝 是 这样 的
还好我是去电影院看的巨好看哭死我了一直偷偷擦眼泪,还好 我 是 去 电影院 看 的 巨 好看 哭 死 我 了 一直 偷偷 擦 眼泪
从电影院下架之后就已经宣告结束了剧情暂且不讲没在激光厅戴上3d眼镜去看就永远理解不了为什么这么多人吹捧深海,从 电影院 下架 之后 就 已经 宣告 结束 了 剧情 暂且 不 讲 没 在 激光 厅 戴 上 3d 眼镜 去 看 就 永远 理解 不了 为什么 这么 多人 吹捧 深海
后悔没去看,后悔 没去 看
拉胯,拉 胯
他不是一部美好的童年作品他没有隐晦的寓意他也没有畏畏缩缩畏首畏尾的展示他就是把一切放在面上不适合为了父母的恐惧播放只为了受过创伤的心灵一句那根本不是你的错不用多说了这就够了我不喜欢爱的绑架一切都是因为我爱你伤害到你也是我爱你那都是绑架我喜欢仅此一句,他 不是 一部 美好 的 童年 作品 他 没有 隐晦 的 寓意 他 也 没有 畏畏缩缩 畏首畏尾 的 展示 他 就是 把 一切 放在 面上 不 适合 为了 父母 的 恐惧 播放 只 为了 受过 创伤 的 心灵 一句 那 根本 不是 你 的 错 不用 多 说 了 这 就 够 了 我 不 喜欢 爱 的 绑架 一切都是 因为 我爱你 伤害 到 你 也 是 我爱你 那 都 是 绑架 我 喜欢 仅 此 一句
简单来说这个故事有生活经历内心有缺憾的人才能够感同身受这部电影就像是女娲补天的七彩石能够补有些人的内心深处,简单 来说 这个 故事 有 生活 经历 内心 有 缺憾 的 人才 能够 感同身受 这部 电影 就 像是 女娲补天 的 七彩 石 能够 补 有些 人 的 内心深处
小学6年级以下学生基本看不懂寓意如果不小心走神了可能剧情逻辑都没懂,小学 6 年级 以下 学生 基本 看不懂 寓意 如果 不 小心 走神 了 可能 剧情 逻辑 都 没 懂
小学6年级以下学生基本看不懂寓意如果不小心走神了可能剧情逻辑都没懂,小学 6 年级 以下 学生 基本 看不懂 寓意 如果 不 小心 走神 了 可能 剧情 逻辑 都 没 懂
原来深海这类型的影片叫文艺片我觉得是神中神啊没看过这么好的作品还有一部别人评价很高的影朱一龙演的翻了一下片名叫人生大事我的评价是烂的要命浪费了人生的两小时,原来 深海 这 类型 的 影片 叫 文艺片 我 觉得 是 神中神 啊 没 看过 这么 好 的 作品 还有 一部 别人 评价 很 高 的 影朱 一龙演 的 翻 了 一下 片 名叫 人生大事 我 的 评价 是 烂 的 要命 浪费 了 人生 的 两 小时
唯二不好的地方: 1.前半部分镜头运动速度太快了导致我看不清画面人物主次关系有些镜头还得找主人公在哪画面彩就不说了至少你镜头动慢点让我看清人物阿 2.还是前半段节奏处理的不好很简单的故事写的有点复杂虽然最后伏笔能接上但估计前半段糟糕的节奏就让一些人不想看了看到伏笔就更是摸不着头脑 我看完哭的是稀里哗啦但和我看的几个朋友就很懵逼可能我很感性吧,唯二 不好 的 地方 : 1 . 前半部 分镜头 运动 速度 太快 了 导致 我 看不清 画面 人物 主次 关系 有些 镜头 还 得 找 主人公 在 哪 画面 彩 就 不 说 了 至少 你 镜头 动 慢点 让 我 看清 人物 阿 2 . 还是 前半段 节奏 处理 的 不好 很 简单 的 故事 写 的 有点 复杂 虽然 最后 伏笔 能 接上 但 估计 前半段 糟糕 的 节奏 就让 一些 人 不想 看 了 看到 伏笔 就 更是 摸不着头脑 我 看 完 哭 的 是 稀里哗啦 但 和 我 看 的 几个 朋友 就 很 懵 逼 可能 我 很 感性 吧
哎历史,哎 历史
本科学的作业治疗这个片子太对胃口了我直接推给了我的老师,本 科学 的 作业 治疗 这个 片子 太 对胃口 了 我 直接 推给 了 我 的 老师
已经过去快一年了看到还是难受,已经 过去 快 一年 了 看到 还是 难受
最后参宿死了是吧,最后 参宿 死 了 是 吧
没有死的是南河参宿被救了,没有 死 的 是 南河 参宿 被 救 了
回复 :都死了导演说的,回复 : 都 死 了 导演 说 的
